"SiO2","TiO2","Al2O3","FeO","MnO","MgO","CaO","Na2O","K2O","P2O5","SO2","NiO","Cr2O3","Si","Ti","Al","Fe2","Mn","Mg","Ca","Na","K","Ph","S","Ni","Cr3","MgNum","CaNum","AlNum","Ca_Al","Si_sq","Si_Ti","InOPAMchull","ProbSat","State","T_degC","P_kbar","Reference","Type","Sample","Age","Location","order","sample","Eruption.date","analysis","host","MI.diameter","Host.diameter","SiO2_raw","TiO2_raw","Al2O3_raw","FeO_raw","MnO_raw","MgO_raw","CaO_raw","Na2O_raw","K2O_raw","P2O5_raw","Cr2O3_raw","NiO_raw","total","PEC_per","H2O","Li_ppm","B_ppm","K_ppm","Ti_ppm","Sr_ppm","Y_ppm","Zr_ppm","Nb_ppm","Ba_ppm","La_ppm","Ce_ppm","Pr_ppm","Nd_ppm","Sm_ppm","Eu_ppm","Gd_ppm","Tb_ppm","Dy_ppm","Ho_ppm","Er_ppm","Tm_ppm","Yb_ppm","Lu_ppm","P_kbar_H18","Pf_H18","Reference","Type","Sample","Age","Location","order","sample","Eruption.date","analysis","host","MI.diameter","Host.diameter","SiO2_raw","TiO2_raw","Al2O3_raw","FeO_raw","MnO_raw","MgO_raw","CaO_raw","Na2O_raw","K2O_raw","P2O5_raw","Cr2O3_raw","NiO_raw","total","PEC_per","H2O","Li_ppm","B_ppm","K_ppm","Ti_ppm","Sr_ppm","Y_ppm","Zr_ppm","Nb_ppm","Ba_ppm","La_ppm","Ce_ppm","Pr_ppm","Nd_ppm","Sm_ppm","Eu_ppm","Gd_ppm","Tb_ppm","Dy_ppm","Ho_ppm","Er_ppm","Tm_ppm","Yb_ppm","Lu_ppm","P_kbar_H18","Pf_H18"
50.36,1.34,14.32,10.59,0.2,8.23,12.42,2.22,0.18,0.09,0,0.02,0.03,0.4687,0.0094,0.1571,0.0824,0.0016,0.1142,0.1238,0.04,0.0022,0.0004,0,0.0002,0.0002,58.087487283825,0.755799755799756,0.251038670501758,0.788033099936346,0.21967969,0.00440578,TRUE,0.594,"SAT",1217,3.04,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",87,"ÞÞJIJ-081014-02","2014-10-08","3-TT-7-MI2","plg","90","950",49.85,1.4654,13.07,10.72,0.2145,8.47,11.96,2.28,0.1614,0.1152,0.0294,0.0107,98.6664,5,0.592554979400381,4.97008045138594,0.488261972197079,1397.40472727957,9432.10285246393,147.80012943084,23.9311916676688,76.6373942858312,7.47589906353026,32.3613386148786,5.35575872243292,14.6723308747534,1.88905202296221,9.83165587904081,2.84384397447216,1.20128106974062,4.22647248537519,0.664098626552169,4.49618675705058,0.872519019224433,2.5673059106101,0.334320981118751,2.54142925610463,0.338624828676007,2.97,0.870479602669715,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",87,"ÞÞJIJ-081014-02","2014-10-08","3-TT-7-MI2","plg","90","950",49.85,1.4654,13.07,10.72,0.2145,8.47,11.96,2.28,0.1614,0.1152,0.0294,0.0107,98.6664,5,0.592554979400381,4.97008045138594,0.488261972197079,1397.40472727957,9432.10285246393,147.80012943084,23.9311916676688,76.6373942858312,7.47589906353026,32.3613386148786,5.35575872243292,14.6723308747534,1.88905202296221,9.83165587904081,2.84384397447216,1.20128106974062,4.22647248537519,0.664098626552169,4.49618675705058,0.872519019224433,2.5673059106101,0.334320981118751,2.54142925610463,0.338624828676007,2.97,0.870479602669715
50.74,1.87,14.37,10.77,0.22,6.57,12.63,2.39,0.16,0.22,0,0.03,0.03,0.4761,0.0132,0.1589,0.0845,0.0017,0.0919,0.127,0.0434,0.0019,0.0009,0,0.0002,0.0002,52.0975056689342,0.745305164319249,0.250236220472441,0.799244808055381,0.22667121,0.00628452,TRUE,0.17,"UNSAT",1153,-0.66,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",88,"ÞÞJIJ-081014-02","2014-10-08","3-TT-8-MI1","plg","14","400",49.82,1.82,14.03,12.82,0.217,5.14,12.33,2.33,0.1608,0.2125,0.0368,0.0268,99.348,5,0.247452263046772,4.01420798289026,0.456948689392817,1253.70807426526,8394.10423733946,122.375607518386,23.270654616617,77.3952105559521,7.01028490936377,35.2060078442454,5.93705137553239,14.3781879053525,1.85684199017903,11.0702749284909,2.94149252630191,0.908788818591224,3.95453757080152,0.625972320075913,3.77004261571755,0.89368769258411,2.59310676547116,0.392832900347969,2.65890489732388,0.287654115769123,1.4,0.0262243683475348,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",88,"ÞÞJIJ-081014-02","2014-10-08","3-TT-8-MI1","plg","14","400",49.82,1.82,14.03,12.82,0.217,5.14,12.33,2.33,0.1608,0.2125,0.0368,0.0268,99.348,5,0.247452263046772,4.01420798289026,0.456948689392817,1253.70807426526,8394.10423733946,122.375607518386,23.270654616617,77.3952105559521,7.01028490936377,35.2060078442454,5.93705137553239,14.3781879053525,1.85684199017903,11.0702749284909,2.94149252630191,0.908788818591224,3.95453757080152,0.625972320075913,3.77004261571755,0.89368769258411,2.59310676547116,0.392832900347969,2.65890489732388,0.287654115769123,1.4,0.0262243683475348
50.11,1.7,14.45,12,0.19,6.66,12.15,2.35,0.21,0.14,0,0.01,0.03,0.4706,0.012,0.1599,0.0943,0.0015,0.0932,0.1222,0.0428,0.0026,0.0006,0,0.0001,0.0002,49.7066666666667,0.740606060606061,0.25360824742268,0.764227642276423,0.22146436,0.0056472,TRUE,0.346,"UNSAT",1155,0.91,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",89,"MSR-121114","2014-11-12","3-MSR-2-MI1","plg","30","260",49.58,1.76,13.18,12.42,0.2015,6.9,11.69,2.37,0.2214,0.1471,0.027,0.0078,98.9374,5,0.516828586954154,18.5265868932212,0.676354540153746,1786.13232243016,11134.4828534017,169.120907272488,32.9695160477433,92.4408414905134,8.9474369202582,48.1376484461573,7.37739415822004,19.7761559228288,2.93718815220059,13.9552951525545,3.8632179470368,1.70690905084958,4.97683871523025,0.749644519072467,5.5873069836078,1.12910973150107,3.28965353145178,0.476089055741079,2.841040480602,0.459147553117109,0.89,0.127020223590892,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",89,"MSR-121114","2014-11-12","3-MSR-2-MI1","plg","30","260",49.58,1.76,13.18,12.42,0.2015,6.9,11.69,2.37,0.2214,0.1471,0.027,0.0078,98.9374,5,0.516828586954154,18.5265868932212,0.676354540153746,1786.13232243016,11134.4828534017,169.120907272488,32.9695160477433,92.4408414905134,8.9474369202582,48.1376484461573,7.37739415822004,19.7761559228288,2.93718815220059,13.9552951525545,3.8632179470368,1.70690905084958,4.97683871523025,0.749644519072467,5.5873069836078,1.12910973150107,3.28965353145178,0.476089055741079,2.841040480602,0.459147553117109,0.89,0.127020223590892
50.64,1.67,14.28,11.66,0.22,6.78,11.96,2.43,0.2,0.15,0,0,0,0.475,0.0118,0.1579,0.0915,0.0018,0.0948,0.1201,0.0442,0.0024,0.0006,0,0,0,50.8856682769726,0.730979914790018,0.249486490756834,0.760607979734009,0.225625,0.005605,TRUE,0.176,"UNSAT",1161,1,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",90,"MSR-121114","2014-11-12","3-MSR-4-MI1","plg","25","800",50.79,1.78,13.14,11.51,0.2088,6.7,11.36,2.43,0.2244,0.18,0.0341,0.01,98.7136,5,0.543477807452853,11.1146931291217,0.631129354488128,1710.4892294954,10484.300466891,170.689784107713,30.2476807524218,111.907176212099,9.34162694680736,48.5012899764039,8.2382154688921,21.6621449746312,2.66208330038974,15.0939713034052,4.11979367941505,1.24563479878758,4.92979404652798,0.777932597771048,5.37711793050862,1.18336118780693,3.55808914894097,0.474793313310307,3.06453022534974,0.41555155778745,0.77,0.297862081836334,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",90,"MSR-121114","2014-11-12","3-MSR-4-MI1","plg","25","800",50.79,1.78,13.14,11.51,0.2088,6.7,11.36,2.43,0.2244,0.18,0.0341,0.01,98.7136,5,0.543477807452853,11.1146931291217,0.631129354488128,1710.4892294954,10484.300466891,170.689784107713,30.2476807524218,111.907176212099,9.34162694680736,48.5012899764039,8.2382154688921,21.6621449746312,2.66208330038974,15.0939713034052,4.11979367941505,1.24563479878758,4.92979404652798,0.777932597771048,5.37711793050862,1.18336118780693,3.55808914894097,0.474793313310307,3.06453022534974,0.41555155778745,0.77,0.297862081836334
50.15,1.31,13.99,10.21,0.16,8.65,13.12,2.05,0.15,0.13,0,0.03,0.04,0.4663,0.0092,0.1533,0.0794,0.0013,0.1199,0.1308,0.037,0.0018,0.0005,0,0.0002,0.0003,60.1605619668841,0.779499404052443,0.247417688831504,0.853228962818004,0.21743569,0.00428996,TRUE,0.675,"SAT",1249,2.5,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",91,"MSR-121114","2014-11-12","3-MSR-5-MI1","plg","30","600",49.76,1.364,12.75,10.6,0.1695,8.99,12.73,2.07,0.1559,0.1338,0.0455,0.0266,99.1036,5,0.459426205309212,14.3538686780404,0.428813202456593,1148.66768813283,7357.75887718943,158.061149566528,20.2233578770522,59.6911954842089,4.30227321096245,26.2405715433903,4.3481895821313,11.1737550404961,1.65822799691603,8.15028343346609,2.95441733353289,0.926065994949568,2.38105832908426,0.511857619055595,4.39411219545627,0.65873327269277,1.9597825260553,0.279552761316613,2.30320198507437,0.346552301715312,2.16,0.543758746250954,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",91,"MSR-121114","2014-11-12","3-MSR-5-MI1","plg","30","600",49.76,1.364,12.75,10.6,0.1695,8.99,12.73,2.07,0.1559,0.1338,0.0455,0.0266,99.1036,5,0.459426205309212,14.3538686780404,0.428813202456593,1148.66768813283,7357.75887718943,158.061149566528,20.2233578770522,59.6911954842089,4.30227321096245,26.2405715433903,4.3481895821313,11.1737550404961,1.65822799691603,8.15028343346609,2.95441733353289,0.926065994949568,2.38105832908426,0.511857619055595,4.39411219545627,0.65873327269277,1.9597825260553,0.279552761316613,2.30320198507437,0.346552301715312,2.16,0.543758746250954
50.16,1.72,14.44,12.02,0.22,6.67,11.88,2.5,0.18,0.18,0,0.03,0,0.4707,0.0122,0.1597,0.0943,0.0018,0.0933,0.1194,0.0455,0.0022,0.0007,0,0.0002,0,49.7334754797441,0.724075197089145,0.253331218274112,0.747651847213525,0.22155849,0.00574254,TRUE,0.262,"UNSAT",1152,1.31,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",92,"MSR-121114","2014-11-12","3-MSR-7-MI1","plg","25","420",49.76,1.79,13.27,12.47,0.2344,6.93,11.49,2.51,0.1918,0.1859,NA,0.0294,99.2336,5,0.364609825596255,13.9565495625905,0.581310273244845,1426.48526165739,8656.29374567482,184.404674494282,24.253036310811,77.7883944171661,6.35299823081588,63.4372122758386,11.509068049381,25.7812218760375,3.00161779302046,14.542922668041,3.87778862152607,1.5660294612839,5.15039173114084,0.761976712976613,4.36226234021365,0.871119498603334,2.37242937412107,0.354514392648352,2.24070765499831,0.330924450778163,1.31,0.188988904847364,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",92,"MSR-121114","2014-11-12","3-MSR-7-MI1","plg","25","420",49.76,1.79,13.27,12.47,0.2344,6.93,11.49,2.51,0.1918,0.1859,NA,0.0294,99.2336,5,0.364609825596255,13.9565495625905,0.581310273244845,1426.48526165739,8656.29374567482,184.404674494282,24.253036310811,77.7883944171661,6.35299823081588,63.4372122758386,11.509068049381,25.7812218760375,3.00161779302046,14.542922668041,3.87778862152607,1.5660294612839,5.15039173114084,0.761976712976613,4.36226234021365,0.871119498603334,2.37242937412107,0.354514392648352,2.24070765499831,0.330924450778163,1.31,0.188988904847364
49.67,1.9,13.14,13.86,0.26,6.84,11.35,2.52,0.22,0.19,0,0.03,0.01,0.4685,0.0135,0.146,0.1093,0.0021,0.0962,0.1147,0.046,0.0027,0.0008,0,0.0002,0.0001,46.8126520681265,0.713752333540759,0.237591537835639,0.785616438356164,0.21949225,0.00632475,TRUE,0.174,"UNSAT",1184,2.22,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",93,"EI-220114-01","2015-01-22","EI-2-MI1","plg","56.299999999999997","1000",49.31,1.89,13.04,13.76,0.2588,6.79,11.27,2.5,0.2195,0.1894,0.0139,0.0258,99.6597,NA,0.174587654636639,5.91301779738745,0.751990013865408,2016.11387112153,12534.1486513436,167.858348897901,34.1908992063824,115.099791808416,10.2223732797732,49.1730219344428,8.52607924236811,21.2598666123748,3.00914139872309,15.748114441137,4.81162723918713,1.59311367160627,5.19949246341601,0.91060120749497,5.61869875606529,1.2807546582145,3.76391204889484,0.562774240385609,3.57185330302298,0.517885810443885,2.1,0.765565314045566,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",93,"EI-220114-01","2015-01-22","EI-2-MI1","plg","56.299999999999997","1000",49.31,1.89,13.04,13.76,0.2588,6.79,11.27,2.5,0.2195,0.1894,0.0139,0.0258,99.6597,NA,0.174587654636639,5.91301779738745,0.751990013865408,2016.11387112153,12534.1486513436,167.858348897901,34.1908992063824,115.099791808416,10.2223732797732,49.1730219344428,8.52607924236811,21.2598666123748,3.00914139872309,15.748114441137,4.81162723918713,1.59311367160627,5.19949246341601,0.91060120749497,5.61869875606529,1.2807546582145,3.76391204889484,0.562774240385609,3.57185330302298,0.517885810443885,2.1,0.765565314045566
50.2,1.61,13.86,12.54,0.21,7.06,11.67,2.39,0.22,0.21,0,0.02,0.01,0.4715,0.0114,0.1534,0.0985,0.0017,0.0989,0.1175,0.0435,0.0026,0.0009,0,0.0001,0.0001,50.1013171225937,0.729813664596273,0.24547927668427,0.765971316818774,0.22231225,0.0053751,TRUE,0.432,"UNSAT",1176,2.1,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",94,"EI-220114-01","2015-01-22","EI-3-MI1","plg","23.199999999999999","850",49.55,1.6182,13.25,12.6,0.2104,7.1,11.4,2.37,0.2187,0.2148,0.0102,0.0163,98.9307,2,0.516559391967769,6.74027213995635,0.733352052413392,1759.26377398776,10740.0642462397,153.098991318415,28.8962068795911,91.2560025919876,8.10074050876622,42.2314795059692,6.81026057488714,18.6474846532041,2.50452654397711,11.3803615790987,3.79130944828532,1.33661870267767,5.67311451399342,0.94576439835795,5.07880166844592,1.19995695535335,2.85376944911847,0.491196094910646,3.49162736727209,0.378122605578183,2.13,0.972069946965577,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",94,"EI-220114-01","2015-01-22","EI-3-MI1","plg","23.199999999999999","850",49.55,1.6182,13.25,12.6,0.2104,7.1,11.4,2.37,0.2187,0.2148,0.0102,0.0163,98.9307,2,0.516559391967769,6.74027213995635,0.733352052413392,1759.26377398776,10740.0642462397,153.098991318415,28.8962068795911,91.2560025919876,8.10074050876622,42.2314795059692,6.81026057488714,18.6474846532041,2.50452654397711,11.3803615790987,3.79130944828532,1.33661870267767,5.67311451399342,0.94576439835795,5.07880166844592,1.19995695535335,2.85376944911847,0.491196094910646,3.49162736727209,0.378122605578183,2.13,0.972069946965577
49.85,1.55,13.72,12.23,0.16,8.02,11.88,2.21,0.19,0.17,0,0,0.02,0.4665,0.0109,0.1514,0.0958,0.0013,0.1119,0.1191,0.0401,0.0023,0.0007,0,0,0.0001,53.8757823784304,0.748115577889447,0.245023466580353,0.78665785997358,0.21762225,0.00508485,TRUE,0.427,"UNSAT",1223,3.68,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",95,"EI-220114-01","2015-01-22","EI-4-MI1","olv","55.299999999999997","250",49.83,1.5846,14,12.11,0.1693,6.91,12.11,2.25,0.1892,0.1731,0.0254,0.005,99.7246,5,0.450532352972886,5.10337474279794,0.659438979433619,1713.54500520004,10642.5889945919,167.314851341844,27.6301279348229,95.3682573260312,8.89959305998853,42.0778047359885,7.07428978492467,17.7367140098494,2.59891134939798,12.9967382681832,4.01580546197837,1.45935088920413,4.84028141127609,0.68040836013912,5.08095566988331,1.10692201262698,3.14957672640334,0.43447128200798,3.07392632335728,0.428355785570833,3.67,0.440154405416029,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",95,"EI-220114-01","2015-01-22","EI-4-MI1","olv","55.299999999999997","250",49.83,1.5846,14,12.11,0.1693,6.91,12.11,2.25,0.1892,0.1731,0.0254,0.005,99.7246,5,0.450532352972886,5.10337474279794,0.659438979433619,1713.54500520004,10642.5889945919,167.314851341844,27.6301279348229,95.3682573260312,8.89959305998853,42.0778047359885,7.07428978492467,17.7367140098494,2.59891134939798,12.9967382681832,4.01580546197837,1.45935088920413,4.84028141127609,0.68040836013912,5.08095566988331,1.10692201262698,3.14957672640334,0.43447128200798,3.07392632335728,0.428355785570833,3.67,0.440154405416029
50.07,2.04,13.4,13.84,0.24,6.29,11.22,2.48,0.25,0.14,0,0,0.02,0.4733,0.0145,0.1493,0.1094,0.0019,0.0886,0.1137,0.0455,0.003,0.0006,0,0,0.0002,44.7474747474747,0.714195979899497,0.239800835207196,0.761553918285332,0.22401289,0.00686285,TRUE,0.261,"UNSAT",1158,1.36,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",96,"EI-220114-01","2015-01-22","EI-5-MI1","plg","80","1200",49.55,2.06,12.89,13.96,0.2412,6.35,11.04,2.45,0.2534,0.142,0.0217,NA,99.1278,2,0.0663850522591997,5.64660730829749,0.826383536428129,2132.35474411128,13263.4639428765,166.55076192724,34.5768774099578,122.128097447145,11.354994095573,52.4511969664884,8.72214049168687,22.4288552589985,3.13273073688792,16.7948147532261,4.5928730174335,1.60179625909897,5.53594743396838,0.830064341415973,5.92116353586033,1.30566581923868,3.54398833499743,0.576269214578805,3.92848006214954,0.51534416203201,1.15,0.786161799167342,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",96,"EI-220114-01","2015-01-22","EI-5-MI1","plg","80","1200",49.55,2.06,12.89,13.96,0.2412,6.35,11.04,2.45,0.2534,0.142,0.0217,NA,99.1278,2,0.0663850522591997,5.64660730829749,0.826383536428129,2132.35474411128,13263.4639428765,166.55076192724,34.5768774099578,122.128097447145,11.354994095573,52.4511969664884,8.72214049168687,22.4288552589985,3.13273073688792,16.7948147532261,4.5928730174335,1.60179625909897,5.53594743396838,0.830064341415973,5.92116353586033,1.30566581923868,3.54398833499743,0.576269214578805,3.92848006214954,0.51534416203201,1.15,0.786161799167342
50.1,1.24,14.52,10.27,0.17,8.3,13.24,1.87,0.13,0.09,0,0.01,0.04,0.4668,0.0087,0.1595,0.08,0.0013,0.1153,0.1322,0.0338,0.0015,0.0004,0,0.0001,0.0003,59.0373783922171,0.796385542168675,0.254670285805525,0.82884012539185,0.21790224,0.00406116,TRUE,0.762,"SAT",1218,2.07,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",97,"EI-220114-01","2015-01-22","EI-6-MI1","plg","36.200000000000003","700",49.58,1.3154,12.81,10.83,0.175,8.77,12.72,1.88,0.1362,0.0981,0.045,0.0154,98.6907,7,0.43328645647029,10.4227188463351,0.47822938813865,1408.2394171261,8493.96901368937,143.960015525953,20.7311080167542,63.191353523675,6.10322540672708,29.523727745018,5.27680232857713,12.8610372149341,1.88780302957047,9.55159695082721,3.88502695991176,1.22561427202417,4.22081730747253,0.632905358981867,4.22189248806354,0.887171130086673,3.26108055631854,0.424344880606866,2.77508311293494,0.464781288546226,2.35,0.964744505168541,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",97,"EI-220114-01","2015-01-22","EI-6-MI1","plg","36.200000000000003","700",49.58,1.3154,12.81,10.83,0.175,8.77,12.72,1.88,0.1362,0.0981,0.045,0.0154,98.6907,7,0.43328645647029,10.4227188463351,0.47822938813865,1408.2394171261,8493.96901368937,143.960015525953,20.7311080167542,63.191353523675,6.10322540672708,29.523727745018,5.27680232857713,12.8610372149341,1.88780302957047,9.55159695082721,3.88502695991176,1.22561427202417,4.22081730747253,0.632905358981867,4.22189248806354,0.887171130086673,3.26108055631854,0.424344880606866,2.77508311293494,0.464781288546226,2.35,0.964744505168541
50.09,1.18,14.61,10.25,0.17,8.17,13.21,1.95,0.14,0.13,0,0.04,0.05,0.4666,0.0083,0.1604,0.0798,0.0014,0.1135,0.1319,0.0353,0.0017,0.0005,0,0.0003,0.0004,58.7170201758924,0.788875598086124,0.255821371610845,0.822319201995013,0.21771556,0.00387278,TRUE,0.852,"SAT",1209,1.91,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",98,"EI-220114-01","2015-01-22","EI-6-MI3","plg","36.700000000000003","700",49.67,1.2537,12.98,10.84,0.1824,8.66,12.76,1.96,0.1508,0.1349,0.057,0.0406,98.9876,7,0.434137953232864,10.5779307629277,0.468208282934696,1396.65806285687,8329.24095605881,146.586394479043,21.7779088911058,62.9963219901188,6.04288279165106,29.2012200332716,4.78887728844731,13.2206721143138,1.92026704343306,9.99128219168321,3.27782206172126,1.17436481805844,4.00092752798577,0.591742030901527,4.1190563642289,0.842680476060175,2.54097893073985,0.293896503719272,2.02860937482781,0.293933255215192,2.25,0.906956608063734,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",98,"EI-220114-01","2015-01-22","EI-6-MI3","plg","36.700000000000003","700",49.67,1.2537,12.98,10.84,0.1824,8.66,12.76,1.96,0.1508,0.1349,0.057,0.0406,98.9876,7,0.434137953232864,10.5779307629277,0.468208282934696,1396.65806285687,8329.24095605881,146.586394479043,21.7779088911058,62.9963219901188,6.04288279165106,29.2012200332716,4.78887728844731,13.2206721143138,1.92026704343306,9.99128219168321,3.27782206172126,1.17436481805844,4.00092752798577,0.591742030901527,4.1190563642289,0.842680476060175,2.54097893073985,0.293896503719272,2.02860937482781,0.293933255215192,2.25,0.906956608063734
49.38,0.93,14.12,8.7,0.21,11.49,13.36,1.62,0.08,0.05,0,0,0.05,0.4534,0.0064,0.1528,0.0668,0.0016,0.1573,0.1314,0.0288,0.0009,0.0002,0,0,0.0004,70.1918786256136,0.820224719101124,0.252062025734081,0.859947643979058,0.20557156,0.00290176,FALSE,0.491,"UNSAT",1354,7.86,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",99,"EI-220114-01","2015-01-22","EI-7-MI1","plg","30.5","900",48.85,0.9616,12.83,9.01,0.2173,11.91,12.92,1.62,0.0811,0.0537,0.0565,0.0057,98.7472,NA,0.4257216071366,14.4011649516209,0.341482844447888,697.596595048208,5994.65288913301,128.717525318508,15.0706995672429,43.8466110539097,3.82316542988797,19.277445731496,2.89983781288836,8.23081347208792,1.11740842626688,5.97771047949261,2.22983638591289,0.987264485566198,2.21393009591058,0.437774730790115,2.66374507470744,0.567641869680086,1.75396590677865,0.251534573195408,1.92574705327699,0.235770231199135,6.66,0.000211547047650917,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",99,"EI-220114-01","2015-01-22","EI-7-MI1","plg","30.5","900",48.85,0.9616,12.83,9.01,0.2173,11.91,12.92,1.62,0.0811,0.0537,0.0565,0.0057,98.7472,NA,0.4257216071366,14.4011649516209,0.341482844447888,697.596595048208,5994.65288913301,128.717525318508,15.0706995672429,43.8466110539097,3.82316542988797,19.277445731496,2.89983781288836,8.23081347208792,1.11740842626688,5.97771047949261,2.22983638591289,0.987264485566198,2.21393009591058,0.437774730790115,2.66374507470744,0.567641869680086,1.75396590677865,0.251534573195408,1.92574705327699,0.235770231199135,6.66,0.000211547047650917
49.25,1.99,13.31,14.32,0.24,6.61,11.51,2.3,0.21,0.23,0,0.02,0.01,0.4662,0.0141,0.1485,0.1134,0.0019,0.0932,0.1167,0.0422,0.0025,0.0009,0,0.0001,0.0001,45.1113262342691,0.734424166142228,0.241581259150805,0.785858585858586,0.21734244,0.00657342,TRUE,0.26,"UNSAT",1172,1.97,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",100,"EI-220114-01","2015-01-22","EI-8-MI1","plg","26.399999999999999","900",48.82,2.01,12.85,14.48,0.2449,6.68,11.37,2.26,0.2109,0.2341,0.0149,0.0181,99.548,2,0.0796838468115132,5.49039107695795,0.725939691476512,1924.6157715673,12916.8215075207,165.427022430866,34.7452295750447,117.666102410324,10.8400704416789,50.2229011856512,8.44991635824211,22.3648206186277,3.04823550826014,15.4427901351577,5.08819135020435,1.66898162571927,5.79965658164692,1.00300196232478,6.7116837140718,1.31909173135969,3.68431769140621,0.543090157665162,3.37011665012491,0.46163297895863,2.21,0.979111370572467,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",100,"EI-220114-01","2015-01-22","EI-8-MI1","plg","26.399999999999999","900",48.82,2.01,12.85,14.48,0.2449,6.68,11.37,2.26,0.2109,0.2341,0.0149,0.0181,99.548,2,0.0796838468115132,5.49039107695795,0.725939691476512,1924.6157715673,12916.8215075207,165.427022430866,34.7452295750447,117.666102410324,10.8400704416789,50.2229011856512,8.44991635824211,22.3648206186277,3.04823550826014,15.4427901351577,5.08819135020435,1.66898162571927,5.79965658164692,1.00300196232478,6.7116837140718,1.31909173135969,3.68431769140621,0.543090157665162,3.37011665012491,0.46163297895863,2.21,0.979111370572467
50.06,1.75,13.73,12.54,0.21,7.73,11.22,2.29,0.24,0.18,0,0.06,0,0.4695,0.0124,0.1517,0.0984,0.0017,0.108,0.1128,0.0415,0.0029,0.0007,0,0.0004,0,52.3255813953488,0.731043421905379,0.244204764971024,0.743572841133817,0.22043025,0.0058218,TRUE,0.427,"UNSAT",1201,4.19,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",101,"EI-220114-01","2015-01-22","2-EI-13-MI1","olv","21.5","325",49.63,1.78,13.91,13.29,0.212,5.86,11.37,2.31,0.2372,0.1831,0.0045,0.0567,99.2442,5,0.436032232468462,5.58335876625972,0.661183226627574,1872.02793015679,11839.6613368261,168.994702915981,31.8170264344669,109.070439522623,9.43546834826777,48.0647422265123,8.19775134795161,20.3757368337579,3.04947726596785,13.3729607864416,4.90094869653953,1.45080650927145,5.47436357413585,0.825935643684795,6.0391793560618,1.21374577850209,3.50452565684852,0.482325457090003,3.44908627710046,0.481152808112278,4.05,0.540077634407632,"Hartley et al., 2018","MI",NA,NA,"Holuhraun",101,"EI-220114-01","2015-01-22","2-EI-13-MI1","olv","21.5","325",49.63,1.78,13.91,13.29,0.212,5.86,11.37,2.31,0.2372,0.1831,0.0045,0.0567,99.2442,5,0.436032232468462,5.58335876625972,0.661183226627574,1872.02793015679,11839.6613368261,168.994702915981,31.8170264344669,109.070439522623,9.43546834826777,48.0647422265123,8.19775134795161,20.3757368337579,3.04947726596785,13.3729607864416,4.90094869653953,1.45080650927145,5.47436357413585,0.825935643684795,6.0391793560618,1.21374577850209,3.50452565684852,0.482325457090003,3.44908627710046,0.481152808112278,4.05,0.540077634407632
